item_id,pair_id,version,item_type,family_id,family_name,construct,q_vector,prime_text,target_text,target_lemma,critical_region,critical_region_word_pos,expected_response,name_in_prime,np_type,oddness_type,error_type,target_word_count,target_char_count,prime_word_count,lemma_letters,lemma_syllables,zipf_wordfreq,cefr_j_level,aoa_kuperman,concreteness,katakana_cognate,gairaigo_mismatch,dual_violation_flag,audio_duration_ms_est,prime_duration_ms_est,list_form,run_assignment_A,run_assignment_B,trial_index_A,trial_index_B,changed_from_v2
GF04,GF04,GF,G_filler,G_filler,G_filler,filler,,"During the heavy storm, trees swayed strongly.",The thunder laughed boldly today.,,,-1,yes,,no_subject_name,inanimate_animate,none,5,33,7,0,0,,C1,,,0,0,0,2051,2942,AB,3.0,1.0,22.0,33.0,
GF05,GF05,GF,G_filler,G_filler,G_filler,filler,,"In the small bedroom, items rested quietly.",The pillow yelled angrily yesterday.,,,-1,yes,,no_subject_name,inanimate_animate,none,5,36,7,0,0,,C1,,,0,0,0,2051,2942,AB,1.0,4.0,1.0,8.0,
GF06,GF06,GF,G_filler,G_filler,G_filler,filler,,"In her kitchen, Maya prepared various meals.",Maya cooked her dictionary quietly.,,,-1,yes,Maya,proper_name,verb_object_mismatch,none,5,35,7,0,0,,C1,,,0,0,0,2051,2942,AB,3.0,1.0,10.0,26.0,
GF07,GF07,GF,G_filler,G_filler,G_filler,filler,,"At the music store, Owen examined merchandise.",Owen polished the cloud carefully.,,,-1,yes,Owen,proper_name,verb_object_mismatch,none,5,34,7,0,0,,C1,,,0,0,0,2051,2942,AB,4.0,2.0,27.0,25.0,
GF08,GF08,GF,G_filler,G_filler,G_filler,filler,,"In the park, Sara enjoyed the weather.",Sara folded the sunshine neatly.,,,-1,yes,Sara,proper_name,verb_object_mismatch,none,5,32,7,0,0,,C1,,,0,0,0,2051,2942,AB,4.0,3.0,13.0,30.0,
GF09,GF09,GF,G_filler,G_filler,G_filler,filler,,"At the calm beach, Noah collected items.",Noah swallowed the mountain quickly.,,,-1,yes,Noah,proper_name,verb_object_mismatch,none,5,36,7,0,0,,C1,,,0,0,0,2051,2942,AB,3.0,2.0,28.0,32.0,
GF10,GF10,GF,G_filler,G_filler,G_filler,filler,,"In the busy office, Lena worked daily.",Lena printed her dreams nicely.,,,-1,yes,Lena,proper_name,verb_object_mismatch,none,5,31,7,0,0,,C1,,,0,0,0,2051,2942,AB,2.0,3.0,15.0,14.0,
GF11,GF11,GF,G_filler,G_filler,G_filler,filler,,"On the long journey, Tyler reached his destination.",Tyler skated across the ocean.,,,-1,yes,Tyler,proper_name,implausible_setting,none,5,30,8,0,0,,C1,,,0,0,0,2051,3312,AB,3.0,4.0,32.0,11.0,
GF12,GF12,GF,G_filler,G_filler,G_filler,filler,,"On the spacecraft, Emma observed the stars.",Emma planted music on Mars.,,,-1,yes,Emma,proper_name,implausible_setting,none,5,27,7,0,0,,C1,,,0,0,0,2051,2942,AB,2.0,4.0,26.0,25.0,
GF13,GF13,GF,G_filler,G_filler,G_filler,filler,,"During the museum visit, Mira examined exhibits.",Mira slept inside the painting.,,,-1,yes,Mira,proper_name,implausible_setting,none,5,31,7,0,0,,C1,,,0,0,0,2051,2942,AB,4.0,4.0,30.0,30.0,
GF14,GF14,GF,G_filler,G_filler,G_filler,filler,,"On the volcano hike, Kenji photographed scenery.",Kenji baked bread above lava.,,,-1,yes,Kenji,proper_name,implausible_setting,none,5,29,7,0,0,,C1,,,0,0,0,2051,2942,AB,4.0,4.0,16.0,4.0,
GF15,GF15,GF,G_filler,G_filler,G_filler,filler,,"In the snowy mountains, Yuki traveled slowly.",Yuki gardened during the blizzard.,,,-1,yes,Yuki,proper_name,implausible_setting,none,5,34,7,0,0,,C1,,,0,0,0,2051,2942,AB,1.0,1.0,11.0,17.0,
GF16,GF16,GF,G_filler,G_filler,G_filler,filler,,"At the cozy cafe, Aiden ordered breakfast.",Aiden ate a hairy sandwich.,,,-1,yes,Aiden,proper_name,adjective_noun_mismatch,none,5,27,7,0,0,,C1,,,0,0,0,2051,2942,AB,2.0,3.0,5.0,10.0,
GF17,GF17,GF,G_filler,G_filler,G_filler,filler,,"In the quiet library, Ethan studied books.",Ethan read a frozen book.,,,-1,yes,Ethan,proper_name,adjective_noun_mismatch,none,5,25,7,0,0,,C1,,,0,0,0,2051,2942,AB,2.0,2.0,32.0,4.0,
GF18,GF18,GF,G_filler,G_filler,G_filler,filler,,"At the school cafeteria, Aya chose lunch.",Aya drank some angry water.,,,-1,yes,Aya,proper_name,adjective_noun_mismatch,none,5,27,7,0,0,,C1,,,0,0,0,2051,2942,AB,3.0,1.0,30.0,10.0,
GF19,GF19,GF,G_filler,G_filler,G_filler,filler,,"During the family picnic, Leo prepared snacks.",Leo cut some fluffy stone.,,,-1,yes,Leo,proper_name,adjective_noun_mismatch,none,5,26,7,0,0,,C1,,,0,0,0,2051,2942,AB,2.0,3.0,19.0,17.0,
GF20,GF20,GF,G_filler,G_filler,G_filler,filler,,"Inside the bright laboratory, Ren mixed chemicals.",Ren measured the song quickly.,,,-1,yes,Ren,proper_name,cross_domain,none,5,30,7,0,0,,C1,,,0,0,0,2051,2942,AB,1.0,2.0,4.0,24.0,
GF21,GF21,GF,G_filler,G_filler,G_filler,filler,,"On the playground, children played outside.",Children counted the silence happily.,,,-1,yes,,no_subject_name,cross_domain,none,5,37,6,0,0,,C1,,,0,0,0,2051,2572,AB,3.0,2.0,4.0,15.0,
GF22,GF22,GF,G_filler,G_filler,G_filler,filler,,"At the busy supermarket, Nora shopped slowly.",Nora purchased some loud silence.,,,-1,yes,Nora,proper_name,cross_domain,none,5,33,7,0,0,,C1,,,0,0,0,2051,2942,AB,4.0,3.0,6.0,19.0,
GF23,GF23,GF,G_filler,G_filler,G_filler,filler,,"In the dense forest, Maya walked carefully.",Maya climbed a small ocean.,,,-1,yes,Maya,proper_name,cross_domain,none,5,27,7,0,0,,C1,,,0,0,0,2051,2942,AB,1.0,1.0,29.0,6.0,
GF24,GF24,GF,G_filler,G_filler,G_filler,filler,,"During the craft workshop, Sara created items.",Sara wrapped a heavy silence.,,,-1,yes,Sara,proper_name,cross_domain,none,5,29,7,0,0,,C1,,,0,0,0,2051,2942,AB,2.0,1.0,33.0,24.0,
UF01,UF01,UF,U_filler,U_filler,U_filler,filler,,"After the long meeting, Tyler felt tired.",Tomorrow Tyler arrived at three.,,,-1,no,Tyler,proper_name,none,tense_time_mismatch,5,32,7,0,0,,C1,,,0,0,0,2051,2942,AB,3.0,1.0,31.0,18.0,
UF02,UF02,UF,U_filler,U_filler,U_filler,filler,,"Before the morning class, Maya prepared notes.",Last week Maya will travel.,,,-1,no,Maya,proper_name,none,tense_time_mismatch,5,27,7,0,0,,C1,,,0,0,0,2051,2942,AB,3.0,2.0,17.0,3.0,
UF03,UF03,UF,U_filler,U_filler,U_filler,filler,,"After breakfast, Noah went jogging happily.",Next year Noah ran daily.,,,-1,no,Noah,proper_name,none,tense_time_mismatch,5,25,6,0,0,,C1,,,0,0,0,2051,2572,AB,4.0,3.0,19.0,8.0,
UF04,UF04,UF,U_filler,U_filler,U_filler,filler,,"In the spring garden, flowers bloomed beautifully.",The boys runs to school.,,,-1,no,,no_subject_name,none,subject_verb_agreement,5,24,7,0,0,,C1,,,0,0,0,2051,2942,AB,2.0,3.0,7.0,20.0,
UF05,UF05,UF,U_filler,U_filler,U_filler,filler,,"At the busy hospital, doctors treated patients.",The teachers helps the students.,,,-1,no,,no_subject_name,none,subject_verb_agreement,5,32,7,0,0,,C1,,,0,0,0,2051,2942,AB,3.0,2.0,2.0,17.0,
UF06,UF06,UF,U_filler,U_filler,U_filler,filler,,"In the large backyard, dogs played together.",The dogs eats their food.,,,-1,no,,no_subject_name,none,subject_verb_agreement,5,25,7,0,0,,C1,,,0,0,0,2051,2942,AB,1.0,1.0,26.0,11.0,
UF07,UF07,UF,U_filler,U_filler,U_filler,filler,,"In the early morning, Emma woke up.",Maya yesterday her homework finished.,,,-1,no,Maya,proper_name,none,word_order,5,37,7,0,0,,C1,,,0,0,0,2051,2942,AB,1.0,4.0,16.0,21.0,
UF08,UF08,UF,U_filler,U_filler,U_filler,filler,,"During the school recess, children played outside.",The book Sara yesterday read.,,,-1,no,Sara,proper_name,none,word_order,5,29,7,0,0,,C1,,,0,0,0,2051,2942,AB,4.0,2.0,3.0,34.0,
UF09,UF09,UF,U_filler,U_filler,U_filler,filler,,"After dinner, Owen washed the dishes.",Quickly the apple Lena ate.,,,-1,no,Lena,proper_name,none,word_order,5,27,6,0,0,,C1,,,0,0,0,2051,2572,AB,2.0,4.0,24.0,19.0,
UF10,UF10,UF,U_filler,U_filler,U_filler,filler,,"When the storm started, the family rushed home.",Her went to the store.,,,-1,no,,no_subject_name,none,pronoun_case,5,22,8,0,0,,C1,,,0,0,0,2051,3312,AB,1.0,1.0,24.0,16.0,
UF11,UF11,UF,U_filler,U_filler,U_filler,filler,,"Before the test, Yuki reviewed notes carefully.",Him quickly opened the door.,,,-1,no,,no_subject_name,none,pronoun_case,5,28,7,0,0,,C1,,,0,0,0,2051,2942,AB,4.0,4.0,18.0,12.0,
UF12,UF12,UF,U_filler,U_filler,U_filler,filler,,"Inside the busy office, team members worked.",Them played in the garden.,,,-1,no,,no_subject_name,none,pronoun_case,5,26,7,0,0,,C1,,,0,0,0,2051,2942,AB,2.0,4.0,16.0,9.0,
UF13,UF13,UF,U_filler,U_filler,U_filler,filler,,"After the class, the students walked home.",She gave the book to he.,,,-1,no,,no_subject_name,none,pronoun_case,6,24,7,0,0,,C1,,,0,0,0,2422,2942,AB,4.0,3.0,28.0,5.0,
UF14,UF14,UF,U_filler,U_filler,U_filler,filler,,"On the playground, Nora supervised the children.",Mira saw she at school.,,,-1,no,Mira,proper_name,none,pronoun_case,5,23,7,0,0,,C1,,,0,0,0,2051,2942,AB,2.0,1.0,8.0,14.0,
UF15,UF15,UF,U_filler,U_filler,U_filler,filler,,"Before the soccer game, Kenji practiced hard.",Kenji can to play soccer.,,,-1,no,Kenji,proper_name,none,auxiliary,5,25,7,0,0,,C1,,,0,0,0,2051,2942,AB,2.0,2.0,23.0,10.0,
UF16,UF16,UF,U_filler,U_filler,U_filler,filler,,"After history class, Aiden walked home slowly.",Aiden must to study tonight.,,,-1,no,Aiden,proper_name,none,auxiliary,5,28,7,0,0,,C1,,,0,0,0,2051,2942,AB,3.0,4.0,26.0,23.0,
UF17,UF17,UF,U_filler,U_filler,U_filler,filler,,"In the warm kitchen, Ethan prepared dinner.",Ethan should to cook food.,,,-1,no,Ethan,proper_name,none,auxiliary,5,26,7,0,0,,C1,,,0,0,0,2051,2942,AB,2.0,2.0,3.0,13.0,
UF18,UF18,UF,U_filler,U_filler,U_filler,filler,,"After the morning meeting, Sara took notes.",Sara go to school yesterday.,,,-1,no,Sara,proper_name,none,missing_past_morphology,5,28,7,0,0,,C1,,,0,0,0,2051,2942,AB,4.0,1.0,11.0,22.0,
UF19,UF19,UF,U_filler,U_filler,U_filler,filler,,"Before bedtime, Lena read a book.",Lena finish her homework yesterday.,,,-1,no,Lena,proper_name,none,missing_past_morphology,5,35,6,0,0,,C1,,,0,0,0,2051,2572,AB,3.0,1.0,29.0,29.0,
UF20,UF20,UF,U_filler,U_filler,U_filler,filler,,"Every weekday morning, Owen exercised at the gym.",Owen always run very fast.,,,-1,no,Owen,proper_name,none,missing_3sg_morphology,5,26,8,0,0,,C1,,,0,0,0,2051,3312,AB,1.0,3.0,12.0,1.0,
UF21,UF21,UF,U_filler,U_filler,U_filler,filler,,"After the long winter, days got longer.",The days are more longer.,,,-1,no,,no_subject_name,none,double_comparative,5,25,7,0,0,,C1,,,0,0,0,2051,2942,AB,1.0,2.0,3.0,29.0,
UF22,UF22,UF,U_filler,U_filler,U_filler,filler,,"After her marathon training, Emma grew taller.",Emma is more taller now.,,,-1,no,Emma,proper_name,none,double_comparative,5,24,7,0,0,,C1,,,0,0,0,2051,2942,AB,3.0,3.0,21.0,24.0,
UF23,UF23,UF,U_filler,U_filler,U_filler,filler,,"Before the concert, Leo arrived early.",Leo listened at the music.,,,-1,no,Leo,proper_name,none,wrong_preposition,5,26,6,0,0,,C1,,,0,0,0,2051,2572,AB,1.0,3.0,6.0,7.0,
UF24,UF24,UF,U_filler,U_filler,U_filler,filler,,"After class, the students discussed their homework.",They depended on each others.,,,-1,no,,no_subject_name,none,reciprocal_pronoun,5,29,7,0,0,,C1,,,0,0,0,2051,2942,AB,4.0,4.0,21.0,3.0,
